Player,Age,Height,Foot
Stefan Tarnovanu,25,1.97m,Right
Lukas Zima,31,1.96m,Right
Andrei Vlad,26,1.90m,Right
Mihai Udrea,23,1.86m,Left
Matei Popa,18,N/A,N/A
Siyabonga Ngezana,27,1.88m,Right
Joyskim Dawa,29,1.94m,Right
Mihai Popescu,32,1.88m,Right
Baba Alhassan,25,1.80m,Right
Denis Harut,26,1.81m,Right
Luca Ciobanu,19,1.83m,Right
Matei Manolache,18,1.87m,Left
Andrei Dancus,16,1.84m,Right
Risto Radunovic,33,1.84m,Left
David Kiki,31,1.80m,Left
Ionut Pantiru,29,1.79m,Left
Ricardo Padurariu,18,1.75m,Left
Alexandru Pantea,21,1.72m,Right
Ionut Cercel,18,1.86m,Right
Nana Antwi,24,1.80m,Right
Valentin Cretu,36,1.76m,Right
Adrian Sut,26,1.86m,Right
Vlad Chiriches,35,1.84m,Right
Mihai Lixandru,24,1.84m,Right
Malcom Edjouma,28,1.91m,Right
Juri Cisotti,32,1.75m,Right
Andrei Pandele,21,1.83m,Both
,22,1.82m,Right
Darius Olaru,27,1.77m,Right
Florin Tanase,30,1.85m,Right
Eduard Radaslavescu,20,1.81m,Right
Octavian Popescu,22,1.80m,Right
Alexandru Musi,20,1.80m,Right
Mihai Toma,18,1.72m,Right
Luis Phelipe,24,1.78m,Right
David Miculescu,24,1.90m,Left
Marius Stefanescu,26,1.68m,Left
Alexandru Baluta,31,1.66m,Right
William Baeten,28,1.81m,Left
David Popa,18,1.62m,Left
Robert Necsulescu,18,N/A,N/A
Daniel Birligea,25,1.84m,Right
Daniel Popa,29,1.86m,Right
Alexandru Stoian,17,1.83m,Right
Jordan Gele,32,1.92m,Right
Luca Ilie,18,1.88m,Left
Denis Colibasanu,18,N/A,N/A
Razvan Sava,23,1.97m,Right
Otto Hindrich,22,1.93m,Right
Mihai Popa,24,1.90m,Right
Alexandru Borbei,22,1.91m,Right
Mihai Racasan,17,1.87m,Right
Rares Gal,24,1.86m,Right
Mihai Pinzariu,20,1.87m,Right
Matei Ilie,22,1.91m,Left
Leo Bolgado,26,1.90m,Right
Arlind Ajeti,31,1.84m,Right
,29,1.98m,Right
Daniel Graovac,31,1.85m,Right
,31,1.91m,Right
Sheriff Sinyan,28,1.88m,Right
Costel Avram,23,N/A,N/A
Alan Aussi,24,1.87m,Right
Simao Rocha,24,1.86m,Left
Aly Abeid,27,1.74m,Left
Mario Camora,38,1.78m,Left
Vasile Mogos,32,1.86m,Right
Armend Thaqi,32,1.79m,Right
Flavius Iacob,24,1.80m,Right
Alexandru Tirlea,25,1.82m,Right
Andrei Peteleu,32,1.82m,Right
,29,1.90m,Both
Lindon Emerllahu,22,1.83m,Both
Andrei Artean,31,1.83m,Right
,24,1.78m,Right
Moustapha Name,30,1.85m,Both
Panagiotis Tachtsidis,34,1.91m,Left
Alin Fica,24,1.81m,N/A
Adrian Paun,30,1.77m,Right
,23,1.80m,Right
Damjan Djokovic,35,1.90m,Left
,20,N/A,N/A
Tudor Lucaci,21,N/A,Right
Razvan Gligor,18,1.75m,Right
Meriton Korenica,28,1.75m,Right
Mohammed Kamara,27,1.84m,Right
Andres Sfait,20,1.80m,Right
Ioan Barstan,21,1.75m,Left
Beni Nkololo,28,1.86m,Left
Ciprian Deac,39,1.77m,Left
Daniel Birligea,25,1.84m,Right
Louis Munteanu,23,1.84m,Right
Virgiliu Postolachi,25,1.88m,Right
,27,1.86m,Right
Stipe Juric,26,1.85m,Right
Luka Juricic,28,1.90m,Right
,20,N/A,Right
Marian Aioani,25,1.87m,Right
Benjamin Siegrist,33,1.96m,Right
,24,1.93m,Right
Bogdan Ungureanu,18,1.88m,Right
Dinu Moldovan,35,1.82m,Right
Adrian Briciu,18,1.90m,N/A
Alexandru Pascanu,26,1.87m,Right
Denis Ciobotariu,27,1.87m,Right
Cristian Ignat,22,1.94m,Right
,29,1.85m,Left
,27,1.89m,Right
Cristian Sapunaru,41,1.87m,Right
Andrei Borza,19,1.80m,Left
Robert Badescu,20,N/A,N/A
Patrick Popa,18,N/A,N/A
Cristian Manea,27,1.83m,Right
Razvan Onea,27,1.77m,Right
Christopher Braun,33,1.81m,Both
,24,1.78m,Right
Jakub Hromada,29,1.80m,Right
Peter Ademo,22,1.84m,Left
Razvan Oaida,27,1.82m,Right
Catalin Vulturar,21,1.81m,Right
Diogo Mendes,27,1.82m,Right
Sebastian Banu,17,N/A,Left
Tobias Christensen,25,1.79m,Left
Constantin Grameni,22,1.79m,Left
Mattias Kait,27,1.87m,Right
Luka Gojkovic,25,1.76m,Left
Xian Emmers,25,1.78m,Right
,18,1.76m,Right
Andrei Niculcea,16,N/A,Both
Andrei Sucu,16,N/A,N/A
Claudiu Petrila,24,1.76m,Right
Jayson Papeau,29,1.79m,Right
Claudiu Micovschi,26,1.80m,Left
Alexandru Dobre,26,1.85m,Both
Rares Pop,20,1.77m,Left
Florent Hasani,28,1.83m,Left
,21,N/A,Right
Clinton N'Jie,31,1.75m,Right
Albion Rrahmani,24,1.88m,Both
Borisav Burmaz,24,1.85m,Left
David Ankeye,23,1.91m,Right
Elvir Koljic,29,1.94m,Right
,22,1.83m,Right
Alexandru Stan,19,N/A,N/A
Aaron Boupendza,28,1.80m,Left
Laurentiu Popescu,28,1.85m,Right
,33,1.85m,N/A
Relu Stoian,29,1.86m,Right
Silviu Lung Jr.,36,1.89m,Right
Denil Maldonado,27,1.83m,Right
Juraj Badelj,21,1.90m,Left
Gjoko Zajkov,30,1.88m,Right
Grego Sierra,32,1.86m,Left
Marcus Pacurar,20,1.89m,Right
Nicusor Bancu,32,1.82m,Left
Basilio Ndong,26,1.73m,Left
Denis Benga,19,N/A,N/A
Stefan Vladoiu,26,1.78m,Right
Vasile Mogos,32,1.86m,Right
Iago Lopez,26,1.77m,Right
Florin Gaspar,17,N/A,Right
Vladimir Screciu,25,1.83m,Right
Anzor Mekvabishvili,24,1.74m,Right
Takuto Oshima,27,1.75m,N/A
,33,1.89m,Right
Robert Lapadatescu,18,N/A,N/A
Mihai Capatina,29,1.83m,Right
Alexandru Cicaldau,27,1.78m,Right
Lyes Houri,29,1.69m,Right
Alexandru Mitrita,30,1.67m,Right
,28,1.85m,Right
,28,1.69m,Right
Mihai Ninaci,16,N/A,N/A
Stefan Baiaram,22,2.00m,Right
Carlos Mora,24,1.78m,Right
Stefan Bana,20,1.77m,Left
Marian Danciu,23,N/A,Right
Elvir Koljic,29,1.94m,Right
Alisson Safira,30,1.85m,Right
,24,1.83m,Right
Jovo Lukic,26,1.90m,Left
David Barbu,19,1.90m,Right
Teodor Luta,18,N/A,N/A
Edvinas Gertmonas,29,1.92m,Right
Stefan Lefter,20,1.87m,Right
Andrei Gorcea,23,1.89m,N/A
Denis Moldovan,20,1.95m,N/A
,20,N/A,N/A
Tudor Cosa,16,N/A,N/A
Lucas Masoero,30,1.88m,Right
Iulian Cristea,30,1.84m,Right
Jasper van der Werff,26,1.88m,Right
Bogdan Mitrea,37,1.85m,Left
Andrei Stefan,22,N/A,N/A
Alexandru Chipciu,36,1.76m,Right
Daniel Lasure,31,1.76m,Left
Dorinel Oancea,28,N/A,N/A
Stefan Opris,18,N/A,N/A
Gabriel Simion,27,1.79m,Right
Andrei Artean,31,1.83m,Right
Ovidiu Popescu,31,1.81m,Right
Razvan Oaida,27,1.82m,Right
Ovidiu Bic,31,1.77m,Left
Dorin Codrea,28,1.85m,Right
Vadim Rata,32,1.73m,Right
Dan Nistor,37,1.72m,Right
Alexandru Bota,17,N/A,N/A
Antonio Suciu,19,N/A,N/A
Radu Boboc,26,1.80m,Right
Robert Silaghi,23,N/A,Right
Andrej Fabry,28,1.77m,Left
Matei Moraru,19,N/A,Right
Issouf Macalou,26,1.87m,Left
Berto,29,1.77m,Right
,20,N/A,N/A
Vladislav Blanuta,23,1.90m,Right
Mamadou Thiam,30,1.80m,Right
Artur Miranyan,29,1.79m,Right
Adel Bettaieb,28,1.84m,Right
,26,N/A,Left
Alexandru Rosca,21,1.86m,Right
Adnan Golubovic,29,1.86m,Right
Alexandru Stoian,20,1.85m,Right
Kennedy Boateng,28,1.91m,Right
Josue Homawoo,27,1.91m,Left
Cristian Licsandru,22,N/A,Left
Razvan Pascalau,21,1.89m,Right
Razvan Patriche,39,1.83m,Right
,27,1.84m,Left
Costin Amzar,21,1.70m,Left
Antonio Luna,34,1.78m,Left
Maxime Sivis,27,1.80m,Right
Cristian Costin,27,1.78m,Right
Eddy Gnahore,31,1.88m,Right
,23,1.90m,Right
Catalin Cirjan,22,1.74m,Right
Georgi Milanov,33,1.84m,Left
Alexandru Irimia,19,N/A,N/A
Casian Soare,18,N/A,Both
Patrick Olsen,31,1.78m,Right
Eduard Ilincas,15,N/A,N/A
Peter Maapia,19,1.75m,N/A
Antonio Cristea,17,N/A,N/A
Dennis Politic,25,1.85m,Right
Adrian Caragea,19,1.82m,Right
,25,1.85m,Right
Andrei Florescu,23,1.76m,Right
,26,1.73m,Left
Ahmed Bani,22,1.74m,Left
,20,N/A,Left
Astrit Selmani,28,1.84m,Right
Alexandru Pop,25,1.83m,Right
Stipe Perica,29,1.92m,Right
Hakim Abdallah,27,1.87m,Right
Raul Rotund,19,1.86m,Right
Roland Niczuly,29,1.82m,Left
Szilard Gyenge,24,N/A,Right
Dinu Moldovan,35,1.82m,Right
Hunor Gedo,21,N/A,N/A
Denis Ciobotariu,27,1.87m,Right
Denis Harut,26,1.81m,Right
Branislav Ninaj,31,1.91m,Right
Matej Simic,29,1.90m,Right
Akos Kecskes,29,1.90m,Right
Nir Bardea,29,1.89m,N/A
Mark Tamas,31,1.92m,Left
,22,N/A,N/A
Florin Stefan,29,1.83m,Left
Andres Dumitrescu,24,N/A,Left
Stefan Hajdin,31,1.88m,Left
Bogdan Otelita,22,1.80m,Right
